Filled container:
Container contains 10000 elements.
0: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
1: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
2: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
3: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
4: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
5: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
6: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
7: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
8: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
9: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
10: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
11: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
12: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
13: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
14: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
15: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
16: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
17: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
18: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
19: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
20: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
21: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
22: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
23: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
24: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
25: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
26: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
27: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
28: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
29: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
30: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
31: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
32: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
33: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
34: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
35: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
36: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
37: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
38: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
39: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
40: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
41: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
42: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
43: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
44: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
45: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
46: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
47: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
48: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
49: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
50: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
51: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
52: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
53: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
54: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
55: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
56: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
57: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
58: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
59: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
60: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
61: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
62: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
63: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
64: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
65: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
66: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
67: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
68: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
69: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
70: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
71: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
72: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
73: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
74: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
75: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
76: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
77: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
78: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
79: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
80: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
81: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
82: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
83: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
84: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
85: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
86: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
87: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
88: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
89: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
90: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
91: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
92: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
93: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
94: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
95: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
96: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
97: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
98: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
99: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
100: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
101: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
102: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
103: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
104: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
105: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
106: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
107: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
108: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
109: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
110: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
111: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
112: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
113: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
114: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
115: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
116: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
117: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
118: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
119: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
120: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
121: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
122: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
123: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
124: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
125: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
126: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
127: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
128: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
129: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
130: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
131: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
132: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
133: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
134: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
135: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
136: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
137: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
138: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
139: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
140: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
141: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
142: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
143: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
144: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
145: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
146: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
147: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
148: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
149: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
150: It is TRIANGLE. Coordinates of vertices: (1, 2), (1, 3), (4, 5). Perimeter =  8.848192; Color: YELLOW
151: It is TRIANGLE. Coordinates of vertices: (1, 2), (5, 8), (100, -100). Perimeter =  293.192108; Color: YELLOW
152: It is RECTANGLE. Coordinates of angles: (-8, -8), (-7, -9). Perimeter = 4.000000; Color: PURPLE
153: It is CIRCLE. Center coordinates: (6, 19), radius: 20. Perimeter = 125.663706; Color: GREEN
154: It is CIRCLE. Center coordinates: (1, 8), radius: 3. Perimeter = 18.849556; Color: BLUE
155: It is RECTANGLE. Coordinates of angles: (5, 6), (10, 0). Perimeter = 22.000000; Color: PURPLE
156: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, 8), (5, 10). Perimeter =  18.097254; Color: RED
157: It is RECTANGLE. Coordinates of angles: (9, -12), (20, -14). Perimeter = 26.000000; Color: GREEN
158: It is RECTANGLE. Coordinates of angles: (-1, 2), (3, -4). Perimeter = 20.000000; Color: CYAN
159: It is CIRCLE. Center coordinates: (-4, -5), radius: 16. Perimeter = 100.530965; Color: ORANGE
160: It is TRIANGLE. Coordinates of vertices: (1, 2), (3, -4), (5, -6). Perimeter =  18.097254; Color: PURPLE
161: It is CIRCLE. Center coordinates: (-15, 8), radius: 4. Perimeter = 25.132741; Color: YELLOW
162: It is CIRCLE. Center coordinates: (1, 1), radius: 1. Perimeter = 6.283185; Color: RED
163: It is RECTANGLE. Coordinates of angles: (1, 4), (3, 2). Perimeter = 8.000000; Color: CYAN
